test
"UWALK02201",529,975,1,"Faulkner","WALK","Walkway 21","W21","Team U"
"UWALK02301",529,997,1,"Faulkner","WALK","Walkway 22","W22","Team U"
"UWALK02401",529,1033,1,"Faulkner","WALK","Walkway 23","W23","Team U"
"UWALK02501",529,1121,1,"Faulkner","WALK","Walkway 24","W24","Team U"
"UWALK02601",529,1205,1,"Faulkner","WALK","Walkway 25","W25","Team U"
"UWALK02701",506,1031,1,"Faulkner","WALK","Walkway 26","W26","Team U"
"UWALK02801",487,1031,1,"Faulkner","WALK","Walkway 27","W27","Team U"
"UWALK02901",469,1031,1,"Faulkner","WALK","Walkway 28","W28","Team U"
"UWALK03001",441,1031,1,"Faulkner","WALK","Walkway 29","W29","Team U"
"UWALK03101",441,993,1,"Faulkner","WALK","Walkway 30","W30","Team U"
"UWALK03201",441,975,1,"Faulkner","WALK","Walkway 31","W31","Team U"
"UWALK03301",441,960,1,"Faulkner","WALK","Walkway 32","W32","Team U"
"UWALK03501",468,1117,1,"Faulkner","WALK","Walkway 34","W34","Team U"
"UWALK03601",487,1117,1,"Faulkner","WALK","Walkway 35","W35","Team U"
"UWALK03701",506,1117,1,"Faulkner","WALK","Walkway 36","W36","Team U"
"UWALK03901",468,1207,1,"Faulkner","WALK","Walkway 38","W38","Team U"
"UWALK04001",487,1207,1,"Faulkner","WALK","Walkway 39","W39","Team U"
"UWALK04101",506,1207,1,"Faulkner","WALK","Walkway 40","W40","Team U"
"UWALK04201",1210,1184,1,"Faulkner","WALK","Walkway 41","W41","Team U"
"UWALK04301",1171,1184,1,"Faulkner","WALK","Walkway 42","W42","Team U"
"UWALK04401",1171,1265,1,"Faulkner","WALK","Walkway 43","W43","Team U"
"UEXIT00201",1184,1265,1,"Faulkner","EXIT","Entrance/Exit 2","E2","Team U"
"UWALK04501",1588,929,1,"Faulkner","WALK","Walkway 45","W45","Team U"
"UWALK04601",873,968,1,"Faulkner","WALK","Walkway 46","W46","Team U"
