Test
"UHALL00902",1233,1203,"2","Faulkner","HALL","Hall 9","HALL009","U"
"UHALL02302",1246,278,"2","Faulkner","HALL","Hall 23","HALL023","U"
"UHALL02402",1249,395,"2","Faulkner","HALL","Hall 24","HALL024","U"
"UHALL02502",1252,476,"2","Faulkner","HALL","Hall 25","HALL025","U"
"USTAI00202",1299,395,"2","Faulkner","STAI","Staircase E","STAIRE","U"
"UHALL01802",1350,495,"2","Faulkner","HALL","Hall 18","HALL018","U"
"UHALL01902",1350,474,"2","Faulkner","HALL","Hall 19","HALL019","U"
"UHALL02202",1351,278,"2","Faulkner","HALL","Hall 22","HALL022","U"
"UHALL02002",1352,455,"2","Faulkner","HALL","Hall 20","HALL020","U"
"UELEV00302",1354,1128,"2","Faulkner","ELEV","Elevator Z","ELEVZ","U"
"UHALL02102",1354,369,"2","Faulkner","HALL","Hall 21","HALL021","U"
"UDEPT01102",1374,458,"2","Faulkner","DEPT","Plastic Surgery","PSURGERY","U"
"UREST00102",1380,363,"2","Faulkner","REST","Restroom A","RESTA","U"
"UHALL02602",1398,1092,"2","Faulkner","HALL","Hall 26","HALL026","U"
"UHALL01202",1401,1128,"2","Faulkner","HALL","Hall 12","HALL012","U"
"UDEPT00502",1402,1073,"2","Faulkner","DEPT","Central Sterile Supply East","CSSE","U"
"UHALL01102",1402,1202,"2","Faulkner","HALL","Hall 11","HALL011","U"
"USERV00102",1414,591,"2","Faulkner","FOOD","Food Services","FOODS","U"
"UHALL01602",1432,587,"2","Faulkner","HALL","Hall 16","HALL016","U"
"UHALL01302",1434,1094,"2","Faulkner","HALL","Hall 13","HALL013","U"
"UHALL01502",1434,873,"2","Faulkner","HALL","Hall 15","HALL015","U"
"UHALL01402",1435,974,"2","Faulkner","HALL","Hall 14","HALL014","U"
"UHALL01702",1435,495,"2","Faulkner","HALL","Hall 17","HALL017","U"
"UHALL02702",1435,1131,"2","Faulkner","HALL","Hall 27","HALL027","U"
"UDEPT00802",1452,870,"2","Faulkner","DEPT","Physical Therapy","PTHERAPY","U"
"UDEPT00902",1453,971,"2","Faulkner","DEPT","Occupational Therapy","OTHERAPY","U"
"UREST00202",1461,1128,"2","Faulkner","REST","Restroom B","RESTB","U"
"UDEPT01002",1636,1203,"2","Faulkner","DEPT","Psychiatric Inpatient Care","PICARE","U"
"USERV00203",1120,1218,"3","Faulkner","SERV","Mechanical Space West","MECHW","U"
"USERV00403",1130,1328,"3","Faulkner","SERV","Chapel","CHAPEL","U"
"UHALL01503",1141,688,"3","Faulkner","HALL","Hall 15","HALL015","U"
"UCONF00103",1141,723,"3","Faulkner","CONF","Huvos Auditorium","HAUD","U"
"UREST00203",1141,641,"3","Faulkner","REST","Restroom B","RESTB","U"
"UHALL00203",1147,298,"3","Faulkner","HALL","Hall 2","HALL002","U"
"UHALL00103",1148,464,"3","Faulkner","HALL","Hall 1","HALL001","U"
"UELEV00203",1164,1149,"3","Faulkner","ELEV","Elevator Y","ELEVY","U"
"UDEPT00103",1189,487,"3","Faulkner","DEPT","Family Patient Resources","FPRES","U"
"UHALL02103",1194,1219,"3","Faulkner","HALL","Hall 21","HALL021","U"
"UREST00303",1195,1250,"3","Faulkner","REST","Restroom C","RESTC","U"
"UHALL00303",1201,269,"3","Faulkner","HALL","Hall 3","HALL003","U"
"UELEV00103",1206,389,"3","Faulkner","ELEV","Elevator X","ELEVX","U"
"UHALL01203",1208,466,"3","Faulkner","HALL","Hall 12","HALL012","U"
"UHALL01303",1208,486,"3","Faulkner","HALL","Hall 13","HALL013","U"
"UHALL01403",1208,687,"3","Faulkner","HALL","Hall 14","HALL014","U"
"USTAI00103",1221,1067,"3","Faulkner","STAI","Staircase C","STAIRC","U"
"USERV00303",1233,957,"3","Faulkner","RETL","Gift Shop","GIFTS","U"
"USERV00603",1251,1460,"3","Faulkner","SERV","Shuttle Pickup","SHUTTLE","U"
"UHALL02303",1253,1327,"3","Faulkner","HALL","Hall 23","HALL023","U"
"UHALL00403",1254,261,"3","Faulkner","HALL","Hall 4","HALL004","U"
"UHALL01603",1254,715,"3","Faulkner","HALL","Hall 16","HALL016","U"
"UDEPT00203",1254,243,"3","Faulkner","DEPT","Rsolindale Pediatric Association","RPA","U"
"UHALL01103",1255,391,"3","Faulkner","HALL","Hall 11","HALL011","U"
"UHALL01703",1255,761,"3","Faulkner","HALL","Hall 17","HALL017","U"
"UREST00103",1255,297,"3","Faulkner","REST","Restroom A","RESTA","U"
"UHALL02003",1256,1146,"3","Faulkner","HALL","Hall 20","HALL020","U"
"UHALL01003",1257,466,"3","Faulkner","HALL","Hall 10","HALL010","U"
"UHALL01803",1257,958,"3","Faulkner","HALL","Hall 18","HALL018","U"
"UHALL01903",1257,1065,"3","Faulkner","HALL","Hall 19","HALL019","U"
"UHALL02203",1257,1221,"3","Faulkner","HALL","Hall 22","HALL022","U"
"USERV00703",1286,760,"3","Faulkner","FOOD","Cafeteria","CAF","U"
"USTAI00203",1308,390,"3","Faulkner","STAI","Staircase E","STAIRE","U"
"UDEPT00303",1314,253,"3","Faulkner","DEPT","Gynocology/Oncologoy","GYNO/ONCO","U"
"UHALL00503",1314,265,"3","Faulkner","HALL","Hall 5","HALL005","U"
"USERV00103",1332,1221,"3","Faulkner","SERV","Mechanical Space East","MECHE","U"
"UELEV00303",1342,1151,"3","Faulkner","ELEV","Elevator Z","ELEVZ","U"
"UHALL00603",1367,295,"3","Faulkner","HALL","Hall 6","HALL006","U"
"UHALL00903",1367,469,"3","Faulkner","HALL","Hall 9","HALL009","U"
"UHALL00803",1368,444,"3","Faulkner","HALL","Hall 8","HALL008","U"
"UHALL00703",1370,352,"3","Faulkner","HALL","Hall 7","HALL007","U"
"UDEPT00403",1377,280,"3","Faulkner","DEPT","OB/GYN/Association","OB/GYN/A","U"
"USERV00503",1385,1329,"3","Faulkner","SERV","Volunteer","VOLU","U"
"UDEPT00503",1387,355,"3","Faulkner","DEPT","Division of GYN","GYN ","U"
"UDEPT00603",1387,444,"3","Faulkner","DEPT","Med Staff Lounge","MEDLOUNGE","U"
"USTAI00104",159,1219,"4","Faulkner","STAI","Staircase A","STAIRA","U"
"UDEPT00204",307,1239,"4","Faulkner","DEPT","On-Call","On-Call","U"
"UHALL03904",308,1220,"4","Faulkner","HALL","Hall 39","HALL039","U"
"UCONF00204",446,1244,"4","Faulkner","CONF","Tynan Conference Room","TCONF","U"
"UHALL03804",447,1220,"4","Faulkner","HALL","Hall 38","HALL038","U"
"UDEPT00104",447,1204,"4","Faulkner","DEPT","Urology","URO","U"
"UHALL03704",695,1218,"4","Faulkner","HALL","Hall 37","HALL037","U"
"USTAI00204",696,1248,"4","Faulkner","STAI","Staircase B","STAIRB","U"
"UDEPT00304",907,1189,"4","Faulkner","DEPT","Department Offices","DEPTOFF","U"
"UREST00204",907,1249,"4","Faulkner","REST","Restroom B","RESTB","U"
"UHALL03604",908,1213,"4","Faulkner","HALL","Hall 36","HALL036","U"
"UHALL03504",1002,1213,"4","Faulkner","HALL","Hall 35","HALL035","U"
"USERV00204",1004,1193,"4","Faulkner","SERV","Admin","ADMIN1","U"
"UDEPT00404",1004,1234,"4","Faulkner","DEPT","Medical Library","MEDLIB","U"
"USERV00104",1095,1191,"4","Faulkner","SERV","Social Work","SWORK","U"
"UCONF00304",1097,1234,"4","Faulkner","CONF","Sodowsky Conference Room","SCONF","U"
"UHALL03404",1098,1213,"4","Faulkner","HALL","Hall 34","HALL034","U"
"UDEPT02104",1128,426,"4","Faulkner","DEPT","Cardiology","CARDIO","U"
"UDEPT02204",1129,322,"4","Faulkner","DEPT","HVMA Internal Medicine","HVMAINTMED","U"
"UHALL00204",1145,424,"4","Faulkner","HALL","Hall 2","HALL002","U"
"UHALL00104",1146,477,"4","Faulkner","HALL","Hall 1","HALL001","U"
"UHALL00304",1146,323,"4","Faulkner","HALL","Hall 3","HALL003","U"
"UELEV00204",1162,1161,"4","Faulkner","ELEV","Elevator Y","ELEVY","U"
"UHALL00404",1176,293,"4","Faulkner","HALL","Hall 4","HALL004","U"
"UELEV00104",1192,405,"4","Faulkner","ELEV","Elevator X","ELEVX","U"
"USTAI00304",1216,1069,"4","Faulkner","STAI","Staircase C","STAIRC","U"
"UDEPT01504",1226,843,"4","Faulkner","DEPT","MOHS Clinic","MOHSC","U"
"UDEPT02004",1229,691,"4","Faulkner","DEPT","BD Cardiology","BDCARDIO","U"
"USERV00304",1250,1234,"4","Faulkner","SERV","Administration","ADMIN2","U"
"UHALL00504",1251,278,"4","Faulkner","HALL","Hall 5","HALL005","U"
"UREST00104",1251,307,"4","Faulkner","REST","Restroom A","RESTA","U"
"UHALL01104",1252,479,"4","Faulkner","HALL","Hall 11","HALL011","U"
"UHALL01204",1252,406,"4","Faulkner","HALL","Hall 12","HALL012","U"
"UHALL01304",1252,546,"4","Faulkner","HALL","Hall 13","HALL013","U"
"UHALL01404",1252,689,"4","Faulkner","HALL","Hall 14","HALL014","U"
"UHALL01504",1252,842,"4","Faulkner","HALL","Hall 15","HALL015","U"
"UHALL01604",1252,921,"4","Faulkner","HALL","Hall 16","HALL016","U"
"UHALL01704",1252,975,"4","Faulkner","HALL","Hall 17","HALL017","U"
"UHALL01804",1252,1039,"4","Faulkner","HALL","Hall 18","HALL018","U"
"UHALL01904",1252,1070,"4","Faulkner","HALL","Hall 19","HALL019","U"
"UHALL02004",1252,1160,"4","Faulkner","HALL","Hall 20","HALL020","U"
"UHALL02104",1252,1213,"4","Faulkner","HALL","Hall 21","HALL021","U"
"UDEPT01704",1268,923,"4","Faulkner","DEPT","Nurse's Suite","NURSES","U"
"UDEPT01604",1270,1039,"4","Faulkner","DEPT","Lung Research","LUNGRES","U"
"UDEPT01904",1270,689,"4","Faulkner","DEPT","Neurology","NEURO","U"
"UDEPT01804",1270,844,"4","Faulkner","DEPT","Pulmonary Services","PSERV","U"
"USERV01004",1272,974,"4","Faulkner","SERV","House Keeping","HKEEP","U"
"UCONF00104",1274,548,"4","Faulkner","CONF","Suites","SUITES","U"
"USTAI00504",1311,405,"4","Faulkner","STAI","Staircase E","STAIRE","U"
"UDEPT02304",1314,274,"4","Faulkner","DEPT","Gastroentology Associates","GASTRO","U"
"UHALL00604",1315,290,"4","Faulkner","HALL","Hall 6","HALL006","U"
"UELEV00304",1339,1158,"4","Faulkner","ELEV","Elevator Z","ELEVZ","U"
"UHALL01004",1356,480,"4","Faulkner","HALL","Hall 10","HALL010","U"
"UHALL00704",1358,311,"4","Faulkner","HALL","Hall 7","HALL007","U"
"UHALL00804",1358,359,"4","Faulkner","HALL","Hall 8","HALL008","U"
"UHALL00904",1358,442,"4","Faulkner","HALL","Hall 9","HALL009","U"
"UDEPT02404",1375,359,"4","Faulkner","DEPT","HVMA Neurology","HVMANEURO","U"
"UDEPT02504",1375,440,"4","Faulkner","DEPT","Rheumatology Center","RHEUMA","U"
"UREST00304",1414,1179,"4","Faulkner","REST","Restroom C","RESTC","U"
"UHALL02204",1415,1213,"4","Faulkner","HALL","Hall 22","HALL022","U"
"UDEPT00504",1459,1194,"4","Faulkner","DEPT","PATSAFE","PATSAFE","U"
"UHALL02304",1460,1213,"4","Faulkner","HALL","Hall 23","HALL023","U"
"UDEPT00704",1570,1236,"4","Faulkner","DEPT","Primary Care Physicians","PCP","U"
"UDEPT00604",1571,1191,"4","Faulkner","DEPT","Surgery Department","SURGDEPT","U"
"UHALL02404",1573,1213,"4","Faulkner","HALL","Hall 24","HALL024","U"
"UDEPT00804",1697,1193,"4","Faulkner","DEPT","QUALIMP","QUALIMP","U"
"UHALL02504",1698,1213,"4","Faulkner","HALL","Hall 25","HALL025","U"
"UDEPT00904",1775,1193,"4","Faulkner","DEPT","SURGSPEC","SURGSPEC","U"
"UHALL02604",1777,1213,"4","Faulkner","HALL","Hall 26","HALL026","U"
"USERV00404",1846,1194,"4","Faulkner","SERV","HR","HR","U"
"UHALL02704",1848,1213,"4","Faulkner","HALL","Hall 27","HALL027","U"
"USERV00504",1920,1192,"4","Faulkner","SERV","Finance","FIN","U"
"USERV00704",1922,1235,"4","Faulkner","SERV","Compliance/Patient Relations WEST","CPRELW","U"
"UHALL02804",1923,1213,"4","Faulkner","HALL","Hall 28","HALL028","U"
"UDEPT01004",1975,1236,"4","Faulkner","DEPT","VP Clinical Services","VPCSERV","U"
"UHALL02904",1976,1213,"4","Faulkner","HALL","Hall 29","HALL029","U"
"USERV00604",2017,1190,"4","Faulkner","SERV","Lockers","LOCKER","U"
"USERV00804",2020,1236,"4","Faulkner","SERV","Compliance/Patient Relations EAST","CPRELE","U"
"UHALL03004",2020,1213,"4","Faulkner","HALL","Hall 30","HALL030","U"
"UDEPT01204",2112,1234,"4","Faulkner","DEPT","BWH Plastics","BWH","U"
"UDEPT01104",2114,1189,"4","Faulkner","DEPT","Foot and Ankle Center","FACENT","U"
"UHALL03104",2115,1213,"4","Faulkner","HALL","Hall 31","HALL031","U"
"USERV00904",2210,1234,"4","Faulkner","SERV","Finance Office","FINOFF","U"
"UHALL03204",2210,1213,"4","Faulkner","HALL","Hall 32","HALL032","U"
"UDEPT01304",2211,1191,"4","Faulkner","DEPT","Spine FAC","SPINEFAC","U"
"UDEPT01404",2289,1192,"4","Faulkner","DEPT","IS","IS","U"
"UHALL03304",2291,1213,"4","Faulkner","HALL","Hall 33","HALL033","U"
"USTAI00404",2343,1212,"4","Faulkner","STAI","Staircase D","STAIRD","U"
"UHALL03505",157,1201,"5","Faulkner","HALL","Hall 35","HALL035","U"
"USTAI00105",157,1232,"5","Faulkner","STAI","Staircase A","STAIRA","U"
"UDEPT02005",186,1200,"5","Faulkner","DEPT","Intesive Care Unit/Critical Care Unit west","ICUW","U"
"UDEPT01905",585,1211,"5","Faulkner","DEPT","Intesive Care Unit/Critical Care Unit east","ICUE","U"
"UHALL03405",622,1211,"5","Faulkner","HALL","Hall 34","HALL034","U"
"UREST00305",622,1228,"5","Faulkner","REST","Restroom C","RESTC","U"
"UHALL03305",680,1210,"5","Faulkner","HALL","Hall 33","HALL033","U"
"USTAI00205",680,1229,"5","Faulkner","STAI","Staircase B","STAIRB","U"
"UHALL03205",804,1210,"5","Faulkner","HALL","Hall 32","HALL032","U"
"UDEPT01805",805,1189,"5","Faulkner","DEPT","HemoDialysis","HEMO","U"
"UHALL03105",947,1209,"5","Faulkner","HALL","Hall 31","HALL031","U"
"UDEPT01605",947,1233,"5","Faulkner","DEPT","Outpatient Infusion Center","OIC","U"
"UDEPT01705",948,1186,"5","Faulkner","DEPT","Residents ","RES","U"
"UCONF00105",1122,409,"5","Faulkner","CONF","Suite 51","SUITE51","U"
"UHALL00105",1141,479,"5","Faulkner","HALL","Hall 1","HALL001","U"
"UHALL00205",1141,409,"5","Faulkner","HALL","Hall 2","HALL002","U"
"UHALL00305",1142,308,"5","Faulkner","HALL","Hall 3","HALL003","U"
"UDEPT00105",1166,279,"5","Faulkner","DEPT","ENT/Eye/Physical/Dermatologist","ENT/EYE/PHYS/DERM","U"
"UHALL00405",1170,294,"5","Faulkner","HALL","Hall 4","HALL004","U"
"UELEV00205",1182,1166,"5","Faulkner","ELEV","Elevator Y","ELEVY","U"
"UDEPT01205",1182,1110,"5","Faulkner","DEPT","Nursing Staff Development","NSD","U"
"UHALL02905",1206,1166,"5","Faulkner","HALL","Hall 29","HALL029","U"
"UHALL02805",1207,1110,"5","Faulkner","HALL","Hall 28","HALL028","U"
"UHALL03005",1207,1209,"5","Faulkner","HALL","Hall 30","HALL030","U"
"UCONF00505",1207,1234,"5","Faulkner","CONF","Vacant","VACANT","U"
"UELEV00105",1212,405,"5","Faulkner","ELEV","Elevator X","ELEVX","U"
"UREST00205",1227,1166,"5","Faulkner","REST","Restroom B","RESTB","U"
"UDEPT01005",1228,623,"5","Faulkner","DEPT","Internal Medicine/Headache","HEAD","U"
"UCONF00305",1228,551,"5","Faulkner","CONF","Suite 5940","SUITE5940","U"
"ULABS00105",1228,953,"5","Faulkner","LAB","X-Ray","XRAY","U"
"UDEPT01105",1230,745,"5","Faulkner","DEPT","BWH Primary Care Physicians","PHYS","U"
"USTAI00305",1230,1057,"5","Faulkner","STAI","Staircase C","STAIRC","U"
"UCONF00405",1230,510,"5","Faulkner","CONF","Suite 5945","SUITE5945","U"
"UHALL00505",1247,283,"5","Faulkner","HALL","Hall 5","HALL005","U"
"UHALL01305",1248,404,"5","Faulkner","HALL","Hall 13","HALL013","U"
"UHALL01205",1249,479,"5","Faulkner","HALL","Hall 12","HALL012","U"
"UHALL01405",1249,509,"5","Faulkner","HALL","Hall 14","HALL014","U"
"UREST00105",1249,312,"5","Faulkner","REST","Restroom A","RESTA","U"
"UHALL01505",1250,550,"5","Faulkner","HALL","Hall 15","HALL015","U"
"UHALL01605",1250,622,"5","Faulkner","HALL","Hall 16","HALL016","U"
"UHALL01705",1250,688,"5","Faulkner","HALL","Hall 17","HALL017","U"
"UHALL01805",1250,745,"5","Faulkner","HALL","Hall 18","HALL018","U"
"UHALL01905",1250,787,"5","Faulkner","HALL","Hall 19","HALL019","U"
"UHALL02005",1250,850,"5","Faulkner","HALL","Hall 20","HALL020","U"
"UHALL02105",1250,953,"5","Faulkner","HALL","Hall 21","HALL021","U"
"UHALL02205",1250,1057,"5","Faulkner","HALL","Hall 22","HALL022","U"
"UHALL02305",1251,1110,"5","Faulkner","HALL","Hall 23","HALL023","U"
"UHALL00605",1268,283,"5","Faulkner","HALL","Hall 6","HALL006","U"
"UDEPT00205",1268,266,"5","Faulkner","DEPT","Orthopedic Association","ORTHO","U"
"UDEPT00505",1271,622,"5","Faulkner","DEPT","Ambulatory Clinic","AMB","U"
"UDEPT00605",1271,687,"5","Faulkner","DEPT","Abulatory Care 1","AMB1","U"
"UDEPT00705",1271,746,"5","Faulkner","DEPT","Abulatory Care 2","AMB2","U"
"UDEPT00805",1271,787,"5","Faulkner","DEPT","Abulatory Care 3","AMB3","U"
"UDEPT00905",1271,851,"5","Faulkner","DEPT","Abulatory Care 4","AMB4","U"
"UDEPT00405",1271,510,"5","Faulkner","DEPT","Endocrinology/Diabetes/Hem-Onc","ENDO","U"
"UDEPT01305",1272,1055,"5","Faulkner","DEPT","X-Ray Waiting ","XRAYWAIT","U"
"USTAI00505",1286,404,"5","Faulkner","STAI","Staircase E","STAIRE","U"
"UHALL02405",1296,1110,"5","Faulkner","HALL","Hall 24","HALL024","U"
"UHALL02505",1297,1166,"5","Faulkner","HALL","Hall 25","HALL025","U"
"UHALL02605",1297,1210,"5","Faulkner","HALL","Hall 26","HALL026","U"
"UHALL00705",1315,290,"5","Faulkner","HALL","Hall 7","HALL007","U"
"UELEV00305",1322,1166,"5","Faulkner","ELEV","Elevator Z","ELEVZ","U"
"UHALL00805",1356,309,"5","Faulkner","HALL","Hall 8","HALL008","U"
"UHALL00905",1356,339,"5","Faulkner","HALL","Hall 9","HALL009","U"
"UHALL01005",1356,439,"5","Faulkner","HALL","Hall 10","HALL010","U"
"UHALL01105",1357,477,"5","Faulkner","HALL","Hall 11","HALL011","U"
"UDEPT00305",1373,339,"5","Faulkner","DEPT","BWH Surgical Specialties","BWHSS","U"
"UCONF00205",1375,439,"5","Faulkner","CONF","Suite 58","SUITE58","U"
"UDEPT01405",1381,1211,"5","Faulkner","DEPT","Oncology Clinic west","ONCW","U"
"UDEPT01505",2316,1203,"5","Faulkner","DEPT","Oncology Clinic east","ONCE","U"
"USTAI00405",2345,1252,"5","Faulkner","STAI","Staircase D","STAIRD","U"
"UHALL02705",2346,1203,"5","Faulkner","HALL","Hall 27","HALL027","U"
"UWALK0300G",441,1031,"G","Faulkner","WALK","Walkway 29","W29","U"
"UWALK0310G",441,993,"G","Faulkner","WALK","Walkway 30","W30","U"
"UWALK0320G",441,975,"G","Faulkner","WALK","Walkway 31","W31","U"
"UWALK0330G",441,960,"G","Faulkner","WALK","Walkway 32","W32","U"
"UWALK0350G",468,1117,"G","Faulkner","WALK","Walkway 34","W34","U"
"UWALK0390G",468,1207,"G","Faulkner","WALK","Walkway 38","W38","U"
"UPARK0190G",469,1059,"G","Faulkner","PARK","Parking spot 19","P19","U"
"UPARK0220G",469,1085,"G","Faulkner","PARK","Parking spot 22","P22","U"
"UPARK0250G",469,1156,"G","Faulkner","PARK","Parking spot 25","P25","U"
"UPARK0280G",469,1175,"G","Faulkner","PARK","Parking spot 28","P28","U"
"UWALK0290G",469,1031,"G","Faulkner","WALK","Walkway 28","W28","U"
"UPARK0130G",472,960,"G","Faulkner","PARK","Parking spot 13","P13","U"
"UPARK0140G",472,976,"G","Faulkner","PARK","Parking spot 14","P14","U"
"UPARK0150G",472,994,"G","Faulkner","PARK","Parking spot 15","P15","U"
"UWALK0280G",487,1031,"G","Faulkner","WALK","Walkway 27","W27","U"
"UWALK0360G",487,1117,"G","Faulkner","WALK","Walkway 35","W35","U"
"UWALK0400G",487,1207,"G","Faulkner","WALK","Walkway 39","W39","U"
"UPARK0200G",488,1059,"G","Faulkner","PARK","Parking spot 20","P20","U"
